,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudy,Wind Speed
0,Esperance,AU,1595033503,-33.87,121.9,44.6,87,28,14.99
1,Iqaluit,CA,1595033443,63.75,-68.51,42.8,93,90,12.75
2,Ushuaia,AR,1595033417,-54.8,-68.3,23.65,92,100,0.69
3,Yangi Marg`ilon,UZ,1595033287,40.43,71.72,77.0,50,20,4.7
4,Comodoro Rivadavia,AR,1595033513,-45.87,-67.5,44.6,87,63,2.24
5,Nikolskoye,RU,1595033259,59.7,30.79,55.4,87,0,4.47
6,Tezu,IN,1595033319,27.92,96.17,75.99,85,100,0.31
7,Paamiut,GL,1595033454,61.99,-49.67,47.43,71,100,4.5
8,Busselton,AU,1595033224,-33.65,115.33,50.0,90,40,10.96
9,Jamestown,US,1595033258,42.1,-79.24,75.2,60,1,4.7
10,Zhuhai,CN,1595033613,22.28,113.57,91.99,74,20,10.29
11,Mahébourg,MU,1595033482,-20.41,57.7,69.8,68,75,13.87
12,Hermanus,ZA,1595033298,-34.42,19.23,60.53,44,0,8.59
13,Alekseyevskaya,RU,1595033613,50.29,42.18,61.0,89,100,3.0
14,Moore,US,1595033613,35.34,-97.49,93.2,44,1,14.99
15,George Town,MY,1595033392,5.41,100.34,80.6,94,20,5.26
16,Port Hardy,CA,1595033489,50.7,-127.42,64.4,63,20,17.22
17,Kralendijk,BQ,1595033614,12.15,-68.27,82.4,74,0,17.22
18,Riviere-au-Renard,CA,1595033614,49.0,-64.4,62.6,82,90,3.36
19,Hasaki,JP,1595033614,35.73,140.83,66.2,100,75,6.93
20,Hithadhoo,MV,1595033427,-0.6,73.08,83.91,75,96,11.23
21,Ajdabiya,LY,1595033614,30.76,20.23,71.76,68,0,8.86
22,Rabo de Peixe,PT,1595033614,37.8,-25.58,69.8,77,75,6.93
23,Sychëvka,RU,1595033614,55.83,34.27,49.35,91,24,5.37
24,Punta Arenas,CL,1595033429,-53.15,-70.92,32.0,94,100,9.17
25,Bredasdorp,ZA,1595033261,-34.53,20.04,46.4,75,0,10.29
26,Beira,MZ,1595033615,-19.84,34.84,68.0,77,40,12.75
27,Umm Kaddadah,SD,1595033615,13.6,26.69,83.17,49,12,3.62
28,Tasiilaq,GL,1595033440,65.61,-37.64,46.4,70,0,6.93
29,New Norfolk,AU,1595033439,-42.78,147.06,41.0,87,100,3.4
30,Haifa,IL,1595033616,32.82,34.99,73.26,78,0,6.31
31,Mhango,TZ,1595033616,-3.28,32.85,55.76,56,100,7.0
32,Pozo Colorado,PY,1595033616,-23.49,-58.8,74.26,49,91,7.25
33,Tuktoyaktuk,CA,1595033450,69.45,-133.04,48.2,76,75,13.87
34,Vaini,TO,1595033297,-21.2,-175.2,78.8,83,75,11.41
35,Marzuq,YE,1595033616,14.4,46.47,85.71,30,100,4.09
36,Saint Paul Harbor,US,1595033441,57.79,-152.41,57.2,76,90,10.29
37,Mataura,NZ,1595033228,-46.19,168.86,39.0,83,0,3.0
38,Airai,TL,1595033449,-8.93,125.41,67.1,79,42,4.38
39,Brae,GB,1595033487,60.4,-1.35,53.6,93,88,6.93
40,Ust-Maya,RU,1595033617,60.42,134.53,82.92,50,0,8.86
41,Victor Harbor,AU,1595033617,-35.57,138.62,60.01,49,88,1.01
42,Qaanaaq,GL,1595033446,77.48,-69.36,45.66,72,100,10.38
43,Deshnok,IN,1595033617,27.8,73.34,92.68,51,87,5.84
44,San Cristobal,VE,1595033617,7.77,-72.22,67.66,92,79,3.98
45,Mar del Plata,AR,1595033397,-38.0,-57.56,51.01,93,75,10.29
46,Wawa,NG,1595033617,9.9,4.42,72.3,94,89,5.7
47,Collie,AU,1595033618,-33.37,116.15,50.0,89,0,4.47
48,Souillac,MU,1595033247,-20.52,57.52,69.8,68,75,13.87
49,Arraial do Cabo,BR,1595033228,-22.97,-42.03,68.0,82,75,8.05
50,De Aar,ZA,1595033618,-30.65,24.01,39.34,62,0,3.78
51,Kahului,US,1595033300,20.89,-156.47,95.0,44,40,19.46
52,Auki,SB,1595033375,-8.77,160.7,85.68,64,100,3.71
53,Cape Town,ZA,1595033259,-33.93,18.42,60.01,44,0,14.99
54,Clyde River,CA,1595033479,70.47,-68.59,41.0,93,1,14.99
55,Honiara,SB,1595033271,-9.43,159.95,87.8,66,75,9.17
56,Upernavik,GL,1595033430,72.79,-56.15,46.4,57,100,8.75
57,Puerto Escondido,MX,1595033166,15.85,-97.07,86.0,70,75,8.05
58,Barinas,VE,1595033619,8.62,-70.21,75.61,89,62,1.16
59,Urubichá,BO,1595033619,-15.38,-62.95,74.53,50,0,2.21
60,Ahipara,NZ,1595033493,-35.17,173.17,64.8,77,73,7.43
61,Mossamedes,AO,1595033344,-15.2,12.15,68.16,54,0,5.35
62,Port Augusta,AU,1595033506,-32.5,137.77,57.2,44,100,19.46
63,Rikitea,PF,1595033303,-23.12,-134.97,73.33,84,100,14.09
64,Barrow,US,1595033258,71.29,-156.79,39.2,85,90,14.99
65,Eureka,US,1595033337,40.8,-124.16,66.0,26,2,1.99
66,Albany,US,1595033425,42.6,-73.97,79.0,63,0,6.62
67,Na Wa,TH,1595033620,17.49,104.1,86.0,79,20,1.12
68,Benjamin Constant,BR,1595033620,-4.38,-70.03,78.8,88,99,4.7
69,Lorengau,PG,1595033305,-2.02,147.27,84.29,73,100,10.83
70,Gōtsuchō,JP,1595033531,35.0,132.22,75.2,83,75,5.82
71,Beaufort,MY,1595033620,5.35,115.75,84.2,83,20,2.24
72,Hualmay,PE,1595033284,-11.1,-77.61,59.02,82,4,8.86
73,Zhalantun,CN,1595033621,48.0,122.72,79.23,64,100,5.35
74,Carauari,BR,1595033621,-4.88,-66.9,78.08,72,63,1.61
75,Kavieng,PG,1595033265,-2.57,150.8,83.01,76,100,10.74
76,Dikson,RU,1595033450,73.51,80.55,40.42,95,39,10.0
77,Mount Gambier,AU,1595033269,-37.83,140.77,50.0,66,100,14.99
78,La Libertad,EC,1595033621,-2.23,-80.9,71.6,83,75,9.17
79,Gualeguaychú,AR,1595033621,-33.01,-58.52,52.0,90,100,3.0
80,Lüderitz,NA,1595033247,-26.65,15.16,62.6,29,0,2.24
81,Gazimurskiy Zavod,RU,1595033622,51.55,118.33,72.41,54,99,1.61
82,Dumai,ID,1595033347,1.68,101.45,77.45,89,80,2.19
83,Beringovskiy,RU,1595033325,63.05,179.32,54.32,77,84,8.63
84,Faanui,PF,1595033432,-16.48,-151.75,76.86,82,100,17.2
85,Keetmanshoop,NA,1595033622,-26.58,18.13,53.6,16,0,11.41
86,Sémbé,CG,1595033622,1.65,14.58,69.57,93,84,2.53
87,Talnakh,RU,1595033430,69.49,88.4,48.2,87,75,15.66
88,Kapaa,US,1595033443,22.08,-159.32,86.0,74,20,9.17
89,Loukhi,RU,1595033623,66.08,33.04,54.61,67,71,5.64
90,Lensk,RU,1595033439,60.73,114.93,59.31,71,98,9.66
91,Saint-Philippe,RE,1595033336,-21.36,55.77,66.2,72,90,4.7
92,Gijang,KR,1595033623,35.24,129.21,75.2,69,40,5.82
93,Ilulissat,GL,1595033445,69.22,-51.1,53.6,58,81,4.7
94,Saldanha,ZA,1595033262,-33.01,17.94,53.6,66,0,4.7
95,Bluff,NZ,1595033261,-46.6,168.33,39.0,83,0,3.0
96,Kawalu,ID,1595033624,-7.38,108.21,73.74,89,67,3.74
97,College,US,1595033532,64.86,-147.8,69.8,52,75,10.29
98,Nyurba,RU,1595033624,63.28,118.33,63.14,75,88,6.58
99,Severo-Kuril'sk,RU,1595033310,50.68,156.12,52.65,84,99,10.49
100,Wajir,KE,1595033624,1.75,40.06,70.56,58,100,11.39
101,Zhigansk,RU,1595033624,66.77,123.37,57.51,98,100,6.6
102,Chokurdakh,RU,1595033233,70.63,147.92,57.33,44,0,7.76
103,Marsá Maţrūḩ,EG,1595033624,31.35,27.25,73.4,83,0,7.36
104,Cidreira,BR,1595033443,-30.18,-50.21,60.69,88,0,13.76
105,Hilo,US,1595033433,19.73,-155.09,86.0,62,20,11.41
106,Chui,UY,1595033490,-33.7,-53.46,57.49,94,93,9.8
107,Bethel,US,1595033494,41.37,-73.41,77.0,83,75,4.7
108,Carnarvon,AU,1595033222,-24.87,113.63,53.6,87,0,8.05
109,Ponta do Sol,PT,1595033431,32.67,-17.1,71.01,72,0,0.65
110,Nemuro,JP,1595033625,43.32,145.57,66.2,82,75,12.75
111,Moose Factory,CA,1595033625,51.26,-80.61,77.0,44,40,12.75
